angle,sun,absorber,aux,position,intercept_factor
135.0,1866.81,74.6724,1064.0817,0.031,0.07017543859649122
135.0,1866.81,242.68529999999998,1045.4135999999999,0.465,0.23214285714285715
135.0,1866.81,56.0043,1176.0902999999998,0.234,0.04761904761904762
135.0,1866.81,74.6724,1176.0902999999998,0.267,0.0634920634920635
135.0,1866.81,74.6724,1008.0773999999999,0.181,0.07407407407407408
135.0,1866.81,130.67669999999998,1157.4222,0.32,0.1129032258064516
135.0,1866.81,93.34049999999999,1138.7540999999999,0.342,0.0819672131147541
135.0,1866.81,37.3362,1120.086,0.159,0.03333333333333333
135.0,1866.81,504.03869999999995,1082.7498,0.395,0.4655172413793103
135.0,1866.81,242.68529999999998,1026.7455,0.452,0.23636363636363636
135.0,1866.81,18.6681,858.7325999999999,0.049,0.021739130434782608
135.0,1866.81,74.6724,1213.4265,0.198,0.061538461538461535
135.0,1866.81,74.6724,1045.4135999999999,0.106,0.07142857142857144
135.0,1866.81,37.3362,970.7411999999999,0.095,0.038461538461538464
135.0,1866.81,522.7067999999999,1157.4222,0.406,0.4516129032258064
135.0,1866.81,74.6724,896.0688,0.036,0.08333333333333333
135.0,1866.81,37.3362,1026.7455,0.291,0.03636363636363636
135.0,1866.81,37.3362,952.0731,0.128,0.0392156862745098
135.0,1866.81,373.36199999999997,1176.0902999999998,0.373,0.3174603174603175
135.0,1866.81,18.6681,1064.0817,0.255,0.017543859649122806
135.0,1866.81,56.0043,1064.0817,0.246,0.052631578947368425
135.0,1866.81,130.67669999999998,1194.7584,0.074,0.10937499999999999
135.0,1866.81,93.34049999999999,1120.086,0.233,0.08333333333333333
135.0,1866.81,37.3362,1026.7455,0.268,0.03636363636363636
135.0,1866.81,392.0301,1064.0817,0.427,0.368421052631579
135.0,1866.81,112.0086,1157.4222,0.18,0.0967741935483871
135.0,1866.81,37.3362,933.405,0.321,0.04
135.0,1866.81,429.36629999999997,1008.0773999999999,0.414,0.42592592592592593
135.0,1866.81,18.6681,1138.7540999999999,0.087,0.01639344262295082
135.0,1866.81,317.35769999999997,1194.7584,0.451,0.265625
135.0,1866.81,56.0043,858.7325999999999,0.05,0.06521739130434784
135.0,1866.81,93.34049999999999,933.405,0.21,0.09999999999999999
135.0,1866.81,317.35769999999997,970.7411999999999,0.426,0.3269230769230769
135.0,1866.81,74.6724,896.0688,0.075,0.08333333333333333
135.0,1866.81,317.35769999999997,1026.7455,0.372,0.3090909090909091
135.0,1866.81,373.36199999999997,1045.4135999999999,0.397,0.35714285714285715
135.0,1866.81,56.0043,1176.0902999999998,0.104,0.04761904761904762
135.0,1866.81,37.3362,765.3920999999999,0.293,0.04878048780487805
135.0,1866.81,74.6724,970.7411999999999,0.208,0.07692307692307693
135.0,1866.81,429.36629999999997,989.4092999999999,0.415,0.4339622641509434
135.0,1866.81,149.3448,1157.4222,0.086,0.12903225806451613
135.0,1866.81,317.35769999999997,1138.7540999999999,0.454,0.2786885245901639
135.0,1866.81,56.0043,877.4006999999999,0.047,0.06382978723404256
135.0,1866.81,37.3362,1045.4135999999999,0.182,0.03571428571428572
135.0,1866.81,18.6681,952.0731,0.149,0.0196078431372549
135.0,1866.81,205.3491,952.0731,0.352,0.21568627450980393
135.0,1866.81,37.3362,914.7369,0.13,0.04081632653061224
135.0,1866.81,373.36199999999997,1194.7584,0.371,0.3125
135.0,1866.81,18.6681,1269.4307999999999,0.319,0.014705882352941178
135.0,1866.81,93.34049999999999,1157.4222,0.076,0.08064516129032258
135.0,1866.81,373.36199999999997,1082.7498,0.425,0.3448275862068965
135.0,1866.81,37.3362,1082.7498,0.235,0.034482758620689655
135.0,1866.81,74.6724,1138.7540999999999,0.129,0.06557377049180328
135.0,1866.81,112.0086,1120.086,0.209,0.1
135.0,1866.81,74.6724,1026.7455,0.292,0.07272727272727272
135.0,1866.81,186.68099999999998,1082.7498,0.14,0.17241379310344826
135.0,1866.81,205.3491,1064.0817,0.361,0.19298245614035087
135.0,1866.81,56.0043,989.4092999999999,0.048,0.05660377358490567
135.0,1866.81,504.03869999999995,1232.0946,0.394,0.40909090909090906
135.0,1866.81,224.0172,1101.4179,0.453,0.2033898305084746
135.0,1866.81,392.0301,1008.0773999999999,0.396,0.38888888888888895
135.0,1866.81,74.6724,1288.0989,0.19,0.057971014492753624
135.0,1866.81,112.0086,970.7411999999999,0.158,0.11538461538461539
135.0,1866.81,74.6724,970.7411999999999,0.343,0.07692307692307693
135.0,1866.81,18.6681,1082.7498,0.311,0.017241379310344827
135.0,1866.81,18.6681,1101.4179,0.266,0.01694915254237288
135.0,1866.81,56.0043,1082.7498,0.105,0.05172413793103448
135.0,1866.81,93.34049999999999,1045.4135999999999,0.107,0.08928571428571429
135.0,1866.81,93.34049999999999,1045.4135999999999,0.148,0.08928571428571429
135.0,1866.81,205.3491,1269.4307999999999,0.353,0.16176470588235295
135.0,1866.81,112.0086,1157.4222,0.178,0.0967741935483871
135.0,1866.81,93.34049999999999,1026.7455,0.323,0.0909090909090909
135.0,1866.81,56.0043,1064.0817,0.254,0.052631578947368425
135.0,1866.81,74.6724,1213.4265,0.247,0.061538461538461535
135.0,1866.81,112.0086,1120.086,0.339,0.1
135.0,1866.81,37.3362,1157.4222,0.162,0.03225806451612903
135.0,1866.81,74.6724,1213.4265,0.288,0.061538461538461535
135.0,1866.81,130.67669999999998,1026.7455,0.094,0.12727272727272726
135.0,1866.81,448.0344,1008.0773999999999,0.407,0.4444444444444445
135.0,1866.81,578.7111,1120.086,0.392,0.5166666666666666
135.0,1866.81,56.0043,1138.7540999999999,0.109,0.049180327868852465
135.0,1866.81,37.3362,970.7411999999999,0.23,0.038461538461538464
135.0,1866.81,130.67669999999998,1213.4265,0.271,0.10769230769230767
135.0,1866.81,429.36629999999997,1082.7498,0.413,0.396551724137931
135.0,1866.81,56.0043,1008.0773999999999,0.088,0.05555555555555556
135.0,1866.81,56.0043,1176.0902999999998,0.125,0.04761904761904762
135.0,1866.81,336.0258,1101.4179,0.376,0.3050847457627119
135.0,1866.81,74.6724,1082.7498,0.229,0.06896551724137931
135.0,1866.81,56.0043,1194.7584,0.304,0.046875
135.0,1866.81,56.0043,989.4092999999999,0.197,0.05660377358490567
135.0,1866.81,130.67669999999998,1045.4135999999999,0.163,0.125
135.0,1866.81,130.67669999999998,1101.4179,0.338,0.11864406779661016
135.0,1866.81,37.3362,970.7411999999999,0.324,0.038461538461538464
135.0,1866.81,130.67669999999998,1381.4394,0.052,0.09459459459459459
135.0,1866.81,93.34049999999999,970.7411999999999,0.177,0.09615384615384615
135.0,1866.81,186.68099999999998,1008.0773999999999,0.354,0.18518518518518517
135.0,1866.81,112.0086,1120.086,0.147,0.1
135.0,1866.81,74.6724,1064.0817,0.053,0.07017543859649122
135.0,1866.81,317.35769999999997,933.405,0.448,0.33999999999999997
135.0,1866.81,280.0215,1120.086,0.43,0.25
135.0,1866.81,56.0043,933.405,0.071,0.060000000000000005
135.0,1866.81,74.6724,1064.0817,0.213,0.07017543859649122
135.0,1866.81,37.3362,1288.0989,0.245,0.028985507246376812
135.0,1866.81,354.6939,1232.0946,0.449,0.2878787878787879
135.0,1866.81,74.6724,1194.7584,0.072,0.0625
135.0,1866.81,56.0043,1157.4222,0.341,0.04838709677419355
135.0,1866.81,74.6724,989.4092999999999,0.16,0.07547169811320754
135.0,1866.81,18.6681,1101.4179,0.29,0.01694915254237288
135.0,1866.81,93.34049999999999,952.0731,0.211,0.09803921568627451
